factor_name,category,selected_portfolio,annual_return,annual_return_long_only,annual_return_long_short,total_return,volatility,sharpe,max_drawdown,max_drawdown_duration,ic_mean,ic_ir,n_obs,reference
turnover_mean_20,Liquidity,long_only,0.4007205864158261,0.4007205864158261,0.08522981167909904,0.30313819258858166,0.17463084246475696,2.2946724688492375,0.12545271283691256,38,0.05494514686543917,0.5862899123012953,198,"Datar, Naik and Radcliffe (1998)"
medium_momentum_60_5,Momentum,long_only,0.3565255128192484,0.3565255128192484,-0.013158296921188084,0.20775603741294302,0.16351361487280724,2.180402611101099,0.07837649568643941,27,-0.027913528868607748,-0.3291490941503248,156,Jegadeesh and Titman (1993)
downside_volatility_20,Volatility,long_only,0.3731641731550286,0.3731641731550286,0.06877864607665019,0.28295229304025526,0.17265051531852055,2.161384647283463,0.13051369113209366,51,0.03800013946968242,0.33102292568825226,198,Downside risk anomaly literature
turnover_stability_20,Liquidity,long_only,0.38513352258051947,0.38513352258051947,0.09635976754585074,0.2917307639995774,0.18136805046929966,2.1234915498290112,0.13054374310098737,41,0.0622320738916155,0.7372098984936072,198,Turnover persistence and attention literature
low_volatility_20,Volatility,long_only,0.3581942828280784,0.3581942828280784,0.0660703016947577,0.2719500675851543,0.17313691537644843,2.068849858213444,0.1298531985578224,49,0.057396001592359455,0.5336281915515414,198,"Ang et al. (2006), Baker and Haugen (2012)"
bp,Value,long_only,0.341950532742876,0.341950532742876,0.014702648236966986,0.3140517557645943,0.17633350470538456,1.9392260893027786,0.13400186825503688,66,0.03037633470343392,0.3826911276873382,234,"Rosenberg, Reid and Lanstein (1985)"
ep_ttm,Value,long_only,0.3293703044456,0.3293703044456,0.019524107792911582,0.30260913058464545,0.1771548950460159,1.8592221477145536,0.1349402141527824,73,0.022884322735112476,0.2422735398594246,234,Basu (1977) earnings yield effect
amihud_illiquidity_20,Liquidity,long_only,0.31503093407565963,0.31503093407565963,0.026251893705144358,0.24007996206292725,0.1733278271679649,1.8175438948437057,0.14242818426911572,66,0.017726163734876545,0.2543013663061512,198,Amihud (2002)
price_volume_corr_20,Price-Volume,long_only,0.31579577796867775,0.31579577796867775,0.018589707111139386,0.24064662409640913,0.1745078659175891,1.8096363525401857,0.13452791349012364,55,0.03962550254429695,0.7365526112233886,198,Price-volume relation literature
dividend_yield,Value,long_only,0.2966368989427348,0.2966368989427348,-0.007665838130150648,0.2727992797796732,0.1659513031104241,1.7874936405009874,0.12252143336977377,70,0.018491380196797486,0.2078714765493233,234,Fama-French dividend and value literature
close_location_reversal_10,Microstructure,long_only,0.3622529324870116,0.3622529324870116,0.02519443807550359,0.3034010685154156,0.20415215384773633,1.7744262093712333,0.1576168812598853,67,0.013186590774300361,0.17271564464543143,216,Close location value / reversal literature
intraday_range_20,Microstructure,long_only,0.30393288329151424,0.30393288329151424,0.04132816290264274,0.23184959992126797,0.17150655462814746,1.7721356711438079,0.1308883332025885,55,0.0613316565128456,0.5221753118022067,198,Range-based volatility literature
short_reversal_5d,Reversal,long_only,0.3428257075145773,0.3428257075145773,0.0086507855816631,0.28745223629201955,0.20081014029455468,1.7072131268456348,0.1682544656859456,70,0.04691018196621021,0.5885750114032474,216,De Bondt and Thaler (1985)
return_skewness_20,Risk,long_only,0.32613644193989777,0.32613644193989777,0.02774501965072096,0.24830096859372364,0.1934330163637104,1.6860433036243734,0.14876826851050573,66,-0.0266629424793571,-0.5982745178294359,198,Harvey and Siddique (2000)
vol_adj_momentum_20,Momentum,long_only,0.28772792195275043,0.28772792195275043,0.0017988427402977347,0.2198049017589463,0.18589428711543182,1.547804004186985,0.15169501695746002,76,-0.039047822897253115,-0.5106269439004827,198,Risk-adjusted momentum literature
small_cap,Size,long_only,0.298354341927199,0.298354341927199,0.008212801641220624,0.2743646557199271,0.19281543986939748,1.5473571106613027,0.1541638379992661,70,-0.002441171978533245,-0.04212898779898154,234,"Banz (1981), Fama-French size effect"
overnight_gap_reversal_5,Microstructure,long_only,0.28857582506238244,0.28857582506238244,-0.03936641659827922,0.24273915609442676,0.19993539147434872,1.4433453873993394,0.17171637534761708,71,-0.01570901117639901,-0.3090701879805225,216,Overnight return reversal literature
long_momentum_120_20,Momentum,long_only,0.23776061893582767,0.23776061893582767,-0.028890063366851626,0.0828166994444619,0.17456019643174542,1.362055175211688,0.07654553034834165,27,-0.012918440156332443,-0.16185287421248332,94,Jegadeesh and Titman (1993)
volume_surge_reversal_5_20,Price-Volume,long_only,0.2418691957615282,0.2418691957615282,-0.002590827052912137,0.18554145043177162,0.19521655908002228,1.2389788904248757,0.15913207042964736,70,0.04831227416325845,0.5941098373734869,198,Short-term overreaction literature
turnover_shock_5_20,Liquidity,long_only,0.22272583317755723,0.22272583317755723,-0.03157808478572921,0.17115860014956263,0.1852242173802808,1.2024660507555687,0.1471875974780227,85,-0.04010734070072786,-0.6163046009743761,198,Attention-driven trading literature
